,word,frequency
0,home,2
1,bbc,6
2,newsskip,1
3,contentbritish,1
4,broadcasting,2
5,corporationwatch,1
6,livehomenewssportbusinessinnovationcultureartstravelearthaudiovideoliveisrael,1
7,gaza,4
8,warwar,2
9,ukraineus,2
10,canadaukafricaasiaaustraliaeuropelatin,1
11,americamiddle,2
12,eastin,2
13,picturesbbc,2
14,indepthbbc,2
15,verifyhomenewsisrael,1
16,canadaukuk,1
17,politicsenglandn,1
18,irelandn,1
19,ireland,1
20,politicsscotlandscotland,1
21,politicswaleswales,1
22,politicsafricaasiachinaindiaaustraliaeuropelatin,1
23,verifysportbusinessexecutive,1
24,loungetechnology,1
25,businessfuture,1
26,businessinnovationtechnologyscience,1
27,healthartificial,1
28,intelligenceai,1
29,v,1
30,mindculturefilm,1
31,tvmusicart,1
32,designstylebooksentertainment,1
33,newsartsarts,1
34,motiontraveldestinationsafricaantarcticaasiaaustralia,1
35,pacificcaribbean,1
36,bermudacentral,1
37,americaeuropemiddle,1
38,eastnorth,1
39,americasouth,1
40,americaworld,1
41,tableculture,1
42,experiencesadventuresthe,1
43,specialistearthnatural,1
44,wondersweather,1
45,scienceclimate,1
46,solutionssustainable,1
47,businessgreen,1
48,livingaudiopodcastsradioaudio,1
49,faqsvideolivelive,1
50,newslive,1
51,sporthomenewssportbusinessinnovationcultureartstravelearthaudiovideoliveweathernewslettersnewsnewstrump,1
52,expands,2
53,exemptions,3
54,canada,6
55,mexico,2
56,tariffstrump,1
57,said,1
58,granting,1
59,tariffs,1
60,goods,1
61,come,2
62,previous,1
63,trade,4
64,pact,1
65,2,5
66,april,1
67,1,6
68,agobusinessas,1
69,us,10
70,barbs,3
71,far,3
72,good,3
73,mexicos,3
74,sheinbaumdonald,2
75,trump,7
76,justin,2
77,trudeaus,2
78,clear,2
79,tensions,2
80,stark,2
81,contrast,2
82,mexican,2
83,leaders,2
84,approach,3
85,white,4
86,house,3
87,agoworldflames,1
88,feathers,2
89,fangs,2
90,rio,4
91,carnival,4
92,parade,2
93,picturescrowds,2
94,filled,2
95,sambadrome,2
96,watch,2
97,samba,2
98,schools,2
99,face,2
100,8,2
101,agolatin,2
102,americateen,1
103,armed,2
104,gun,2
105,overpowered,2
106,plane,2
107,passengers,2
108,australiaa,1
109,17,1
110,year,2
111,old,1
112,charged,1
113,detained,1
114,crew,1
115,members,1
116,public,2
117,australia,1
118,agoaustraliaus,1
119,lost,1
120,fifth,1
121,butterflies,2
122,within,1
123,two,3
124,decades,1
125,however,1
126,researchers,1
127,say,1
128,may,4
129,able,1
130,recover,1
131,urgent,1
132,conservation,1
133,measures,1
134,taken,1
135,5,1
136,agous,7
137,canadaas,1
138,agoworldzelensky,1
139,hopes,3
140,ukraine,5
141,talks,3
142,next,2
143,week,3
144,meaningful,2
145,saudi,1
146,arabia,1
147,sides,1
148,seek,1
149,heal,1
150,rift,1
151,presidents,1
152,zelensky,1
153,clashed,1
154,agoworldanalysing,1
155,russian,5
156,strike,4
157,ukrainian,3
158,hotelbbc,1
159,verifys,1
160,nick,1
161,eardley,1
162,takes,1
163,look,2
164,verified,1
165,footage,1
166,images,1
167,missile,3
168,attack,1
169,hotel,3
170,7,4
171,agobbc,1
172,verifyprivate,1
173,spacecraft,2
174,lands,2
175,moon,2
176,sideprivate,1
177,company,1
178,intuitive,1
179,machines,1
180,aiming,1
181,water,1
182,ice,1
183,moons,1
184,surface,1
185,agoscience,1
186,environmentflames,1
187,americahunter,1
188,biden,2
189,says,4
190,cant,2
191,afford,2
192,continue,2
193,laptop,2
194,related,2
195,lawsuit3,1
196,canadalisten,1
197,pope,6
198,francis,4
199,shares,3
200,voice,2
201,message,2
202,hospital2,1
203,agoeuropepelicots,1
204,daughter,1
205,presses,1
206,charges,1
207,father,1
208,jailed,1
209,mass,1
210,rape,1
211,case9,1
212,agoeuropepamela,1
213,bach,2
214,baywatch,2
215,knight,2
216,rider,2
217,star,2
218,found,2
219,dead,3
220,aged,2
221,621,1
222,canadawatch,1
223,moment,3
224,falling,2
225,tree,2
226,narrowly,2
227,misses,2
228,pedestrians8,1
229,canadamore,1
230,explorefrance,1
231,nuclear,2
232,umbrella,2
233,could,4
234,european,3
235,allies,2
236,fit,2
237,president,5
238,macron,1
239,aired,1
240,idea,1
241,frances,1
242,deterrence,1
243,force,1
244,used,1
245,defend,1
246,countries,3
247,agoeuropeso,1
248,lucky,2
249,alive,2
250,aid,2
251,worker,2
252,describes,2
253,escape,2
254,deadly,2
255,strikekarol,2
256,swiacki,2
257,spoke,2
258,surviving,2
259,kryvyi,2
260,rih,2
261,killed,2
262,four,2
263,11,2
264,agoeuropewhat,1
265,department,2
266,education,4
267,dismantle,2
268,pledged,2
269,eliminate,2
270,federal,2
271,agency,2
272,oversees,2
273,system,2
274,14,3
275,canadalondon,1
276,eye,2
277,25,2
278,wheel,1
279,nearly,1
280,wasntjulia,1
