,word,frequency
0,president,21
1,donald,12
2,trump,36
3,spent,6
4,first,31
5,months,17
6,office,13
7,negotiating,1
8,world,26
9,leaders,9
10,wars,2
11,tariffs,6
12,anthony,1
13,zurcher,1
14,takes,2
15,closer,2
16,look,9
17,us,59
18,negotiation,1
19,strategy,2
20,top,7
21,filmed,1
22,edited,1
23,meiying,1
24,wu,1
25,produced,3
26,isabelle,1
27,rodd,1
28,ben,12
29,bevington,1
30,copyright,30
31,2025,35
32,rights,36
33,reserved,30
34,responsible,32
35,content,32
36,external,60
37,sites,31
38,read,34
39,approach,31
40,linking,30
41,family,33
42,missing,14
43,university,15
44,pittsburgh,3
45,student,9
46,asked,5
47,dominican,6
48,republic,4
49,national,10
50,police,31
51,declared,1
52,dead,5
53,sudiksha,1
54,konanki,12
55,20,9
56,disappeared,4
57,spring,3
58,break,3
59,last,42
60,seen,11
61,hotel,3
62,around,12
63,04,1
64,00,1
65,local,10
66,time,42
67,march,10
68,confirmed,2
69,received,5
70,request,5
71,ms,32
72,provide,4
73,additional,1
74,details,7
75,searching,4
76,past,8
77,two,36
78,weeks,5
79,investigators,5
80,considering,1
81,whether,8
82,may,8
83,drowned,1
84,ruled,4
85,foul,2
86,play,5
87,year,36
88,old,13
89,college,2
90,attending,2
91,studies,1
92,biology,1
93,chemistry,1
94,junior,2
95,travelled,2
96,group,19
97,five,13
98,female,1
99,friends,8
100,resort,1
101,punta,1
102,cana,1
103,trip,2
104,according,12
105,loudoun,2
106,county,3
107,sheriff,1
108,citizen,3
109,india,7
110,permanent,2
111,resident,2
112,united,5
113,states,5
114,lives,11
115,chantilly,1
116,virginia,1
117,located,1
118,early,13
119,morning,3
120,surveillance,2
121,video,4
122,shows,7
123,walking,2
124,toward,2
125,beach,4
126,women,9
127,american,6
128,men,51
129,stayed,2
130,one,47
131,others,15
132,returned,6
133,told,31
134,news,19
135,partner,4
136,cbs,4
137,luis,1
138,abinader,1
139,earlier,8
140,week,9
141,conference,2
142,person,7
143,contact,3
144,reported,2
145,wave,2
146,hit,10
147,parents,6
148,man,11
149,joshua,1
150,riibe,2
151,released,19
152,statement,5
153,saying,15
154,hope,8
155,found,18
156,soon,5
157,possible,7
158,senior,6
159,st,3
160,cloud,1
161,state,8
162,minnesota,1
163,recognise,3
164,complex,2
165,painful,1
166,situation,6
167,parties,3
168,involved,7
169,trust,5
170,investigation,4
171,conducted,2
172,transparency,2
173,justice,10
174,interest,6
175,due,3
176,process,5
177,respected,2
178,actions,5
179,taken,5
180,fairness,1
181,requires,1
182,reads,2
183,declare,1
184,officials,10
185,dozens,3
186,hours,14
187,looking,6
188,dividing,1
189,search,16
190,areas,2
191,assigning,1
192,drones,1
193,certain,4
194,sectors,1
195,pilots,1
196,monitoring,2
197,footage,5
198,uploaded,1
199,command,1
200,centre,9
201,ai,1
202,identify,1
203,objects,1
204,ocean,8
205,crews,1
206,water,5
207,land,2
208,authorities,8
209,say,15
210,clear,8
211,disappearance,11
212,blood,3
213,signs,1
214,violence,2
215,working,7
216,federal,5
217,bureau,1
218,investigations,3
219,drug,9
220,enforcement,2
221,administration,11
222,department,5
223,homeland,5
224,security,19
225,response,3
226,international,11
227,criminal,5
228,organization,1
229,known,15
230,interpol,2
231,issued,1
232,global,1
233,alert,1
234,went,11
235,yellow,2
236,notice,1
237,persons,1
238,victims,5
239,kidnappings,1
240,unexplained,1
241,disappearances,1
242,took,14
243,arun,1
244,george,6
245,half,3
246,life,33
247,scrape,1
248,together,5
249,15,3
250,000,16
251,19,4
252,460,1
253,savings,3
254,used,8
255,secure,5
256,care,27
257,worker,2
258,job,14
259,wife,16
260,uk,39
261,barely,1
262,lost,17
263,mr,33
264,real,7
265,name,5
266,want,13
267,identified,2
268,within,6
269,small,7
270,community,6
271,shame,1
272,associated,3
273,without,11
274,paid,5
275,money,13
276,late,5
277,2023,15
278,managers,1
279,alchita,5
280,evidence,8
281,payment,1
282,private,8
283,domiciliary,1
284,home,25
285,bradford,2
286,sponsored,2
287,visa,15
288,behest,1
289,agent,2
290,town,7
291,southern,4
292,indian,4
293,kerala,8
294,promise,3
295,better,7
296,child,7
297,special,1
298,needs,3
299,prodded,1
300,couple,10
301,dip,1
302,take,23
303,risk,4
304,got,19
305,work,13
306,kept,4
307,chasing,1
308,made,30
309,excuses,1
310,pleaded,3
311,forced,7
312,undergo,1
313,unpaid,1
314,training,5
315,gave,9
316,three,19
317,days,18
318,carry,3
319,came,10
320,back,31
321,later,14
322,believes,6
323,scammed,1
324,company,11
325,says,22
326,ordeal,1
327,set,8
328,least,7
329,decade,3
330,financially,1
331,among,11
332,hundreds,6
333,people,51
334,seeking,2
335,exploited,4
336,recruiters,1
337,homes,5
338,middlemen,3
339,given,9
340,getting,4
341,responded,3
342,questions,6
343,sponsorship,5
344,licence,3
345,allows,2
346,issue,3
347,certificates,1
348,foreign,14
349,workers,13
350,applying,1
351,visas,4
352,removed,2
353,sent,3
354,thousands,5
355,pounds,1
356,uprooted,1
357,jobs,1
358,promised,5
359,materialise,1
360,still,21
361,condition,1
362,precarious,1
363,surviving,1
364,bread,1
365,milk,1
366,charity,2
367,shops,1
368,like,37
369,sridevi,1
370,charged,3
371,another,10
372,get,24
373,unable,1
374,return,9
375,scared,1
376,facing,4
377,members,9
378,loan,3
379,make,25
380,struggle,3
381,even,16
382,pay,6
383,rent,1
384,meals,1
385,far,11
386,cry,1
387,stable,2
388,eight,4
389,hour,5
390,sometimes,1
391,call,8
392,4am,1
393,9pm,1
394,driving,1
395,patient,2
396,gets,3
397,actually,11
398,full,4
399,shift,2
400,nurses,1
401,desperate,2
402,migrate,1
403,every,9
404,estimated,1
405,government,16
406,added,15
407,shortage,1
408,occupation,2
409,list,2
410,covid,1
411,allowed,4
412,recruited,2
413,overseas,1
414,long,14
415,many,26
416,golden,4
417,ticket,1
418,could,27
419,along,4
420,baiju,1
421,thittala,2
422,labour,1
423,party,8
424,member,4
425,mayor,6
426,cambridge,1
427,represented,1
428,10,6
429,years,31
430,cross,1
431,border,1
432,nature,3
433,exploitative,1
434,schemes,2
435,means,4
436,incredibly,2
437,hard,8
438,pursue,1
439,often,5
440,payments,1
