,word,frequency
0,hundreds,9
1,thousands,13
2,homes,6
3,without,17
4,power,12
5,storm,2
6,alfred,3
7,brings,1
8,strong,4
9,winds,2
10,heavy,2
11,rains,1
12,australia,5
13,central,10
14,east,4
15,coast,5
16,initially,4
17,called,19
18,cyclone,2
19,weather,5
20,front,4
21,downgraded,1
22,tropical,2
23,low,4
24,set,9
25,reach,2
26,85km,1
27,h,1
28,less,5
29,first,17
30,forecast,1
31,katy,1
32,watson,1
33,reports,6
34,gold,3
35,copyright,35
36,2025,37
37,rights,41
38,reserved,35
39,responsible,36
40,content,35
41,external,70
42,sites,35
43,read,36
44,approach,37
45,linking,35
46,us,70
47,secretary,4
48,state,18
49,marco,3
50,rubio,4
51,elon,5
52,musk,22
53,clashed,1
54,poland,3
55,foreign,8
56,minister,27
57,use,8
58,tech,4
59,billionaire,4
60,starlink,12
61,satellite,2
62,internet,3
63,system,12
64,ukraine,11
65,x,10
66,entire,4
67,line,8
68,would,39
69,collapse,3
70,turned,7
71,radoslaw,1
72,sikorski,6
73,responded,6
74,saying,8
75,country,43
76,paid,4
77,threat,2
78,shut,2
79,result,9
80,search,2
81,another,7
82,network,1
83,dismissed,3
84,claims,2
85,told,27
86,grateful,1
87,small,7
88,man,14
89,exchange,3
90,appeared,2
91,lead,10
92,polish,3
93,pm,4
94,donald,14
95,tusk,2
96,calling,6
97,allies,2
98,show,10
99,respect,7
100,weaker,2
101,partners,5
102,rather,4
103,arrogance,2
104,part,10
105,spacex,5
106,venture,1
107,provide,3
108,high,9
109,speed,1
110,remote,2
111,underserved,1
112,areas,5
113,used,9
114,extensively,1
115,ukrainian,3
116,military,6
117,sunday,27
118,started,7
119,posted,5
120,backbone,1
121,army,11
122,paying,3
123,service,3
124,starlinks,1
125,digitization,1
126,ministry,4
127,cost,6
128,50,2
129,million,3
130,per,4
131,year,41
132,wrote,11
133,ethics,2
134,threatening,4
135,victim,2
136,aggression,1
137,apart,1
138,proves,1
139,unreliable,2
140,provider,1
141,forced,3
142,look,6
143,suppliers,1
144,response,7
145,making,2
146,things,8
147,one,37
148,made,14
149,threats,5
150,cutting,7
151,say,9
152,thank,1
153,lost,3
154,war,23
155,long,10
156,ago,9
157,russians,1
158,border,4
159,right,9
160,added,11
161,later,13
162,post,7
163,quiet,3
164,pay,10
165,tiny,1
166,fraction,1
167,substitute,1
168,monday,10
169,morning,3
170,prime,18
171,specifying,1
172,referring,1
173,true,1
174,leadership,10
175,means,7
176,even,9
177,smaller,1
178,ones,1
179,never,13
180,dear,1
181,friends,3
182,think,15
183,terminals,2
184,key,7
185,operations,3
186,since,13
187,start,12
188,russian,2
189,invasion,1
190,february,5
191,2022,7
192,tens,4
193,including,14
194,500,3
195,bought,2
196,department,13
197,defence,2
198,june,2
199,2023,8
200,reliable,3
201,communication,1
202,troops,3
203,reconnaissance,1
204,drones,2
205,stream,1
206,real,3
207,time,25
208,battlefield,1
209,data,2
210,allows,1
211,quick,1
212,reactions,1
213,attacks,6
214,compensates,1
215,disadvantages,1
216,manpower,1
217,need,14
218,keep,10
219,large,3
220,numbers,3
221,soldiers,1
222,along,5
223,defensive,1
224,drone,1
225,footage,3
226,also,50
227,helps,1
228,direct,4
229,artillery,1
230,fire,2
231,identify,2
232,targets,2
233,kamikaze,1
234,requesting,1
235,evacuation,2
236,providing,3
237,exact,1
238,location,4
239,target,3
240,much,14
241,slower,1
242,complicated,1
243,regular,2
244,radio,3
245,stations,2
246,may,17
247,range,3
248,jammed,1
249,compromised,1
250,additional,3
251,reporting,1
252,abdujalil,1
253,abdurasulov,1
254,former,17
255,bank,27
256,england,9
257,boss,1
258,mark,7
259,carney,58
260,canada,52
261,next,20
262,least,11
263,experience,12
264,handling,1
265,global,9
266,economic,9
267,crises,3
