,word,frequency
0,india,39
1,usually,2
2,turned,3
3,economic,5
4,reforms,3
5,times,8
6,distress,1
7,famous,1
8,example,2
9,1991,2
10,country,21
11,embraced,1
12,liberalisation,1
13,face,3
14,deep,3
15,financial,4
16,crisis,1
17,us,97
18,president,26
19,donald,9
20,trump,43
21,tit,2
22,tat,2
23,tariff,8
24,wars,3
25,global,14
26,trade,23
27,upheaval,1
28,followed,4
29,many,25
30,believe,13
31,finds,2
32,another,10
33,crossroad,2
34,could,31
35,major,7
36,opportunity,2
37,world,29
38,fifth,3
39,largest,4
40,economy,2
41,shed,3
42,protectionism,4
43,open,2
44,seize,1
45,moment,7
46,three,15
47,decades,5
48,ago,8
49,retreat,1
50,repeatedly,3
51,branded,1
52,king,2
53,big,7
54,abuser,1
55,ties,2
56,problem,2
57,weighted,1
58,import,2
59,duties,1
60,average,4
61,duty,3
62,rate,3
63,per,3
64,imported,2
65,product,6
66,among,10
67,highest,5
68,china,22
69,japan,1
70,stands,3
71,whopping,2
72,12,4
73,according,13
74,data,17
75,organization,1
76,high,8
77,tariffs,17
78,increase,4
79,costs,2
80,companies,6
81,dependent,1
82,value,1
83,chains,5
84,hindering,1
85,ability,2
86,compete,4
87,international,8
88,markets,4
89,also,46
90,mean,3
91,indians,1
92,pay,4
93,goods,4
94,foreign,9
95,consumers,4
96,despite,6
97,growing,6
98,exports,6
99,primarily,2
100,driven,4
101,services,7
102,runs,4
103,significant,3
104,deficit,1
105,however,13
106,share,6
107,mere,1
108,challenge,3
109,becomes,1
110,even,18
111,urgent,1
112,jury,4
113,whether,6
114,war,17
115,help,6
116,break,2
117,free,6
118,double,1
119,narendra,1
120,modi,3
121,government,23
122,often,3
123,criticised,1
124,protectionist,4
125,stance,3
126,seems,4
127,shifted,1
128,gears,1
129,recent,12
130,years,23
131,last,18
132,month,10
133,ahead,4
134,prime,5
135,minister,9
136,meeting,2
137,washington,6
138,unilaterally,1
139,lowered,1
140,bourbon,1
141,whiskey,1
142,motorcycles,1
143,products,2
144,commerce,1
145,piyush,1
146,goyal,2
147,made,8
148,two,22
149,trips,1
150,discuss,2
151,potential,3
152,deal,7
153,following,5
154,threatened,2
155,retaliatory,2
156,looming,1
157,april,4
158,citi,1
159,research,9
160,analysts,3
161,estimate,1
162,lose,1
163,7bn,1
164,annually,1
165,reciprocal,1
166,affecting,2
167,sectors,2
168,like,14
169,metals,1
170,chemicals,1
171,jewellery,1
172,pharmaceuticals,2
173,automobiles,1
174,food,3
175,risk,2
176,week,7
177,urged,2
178,indian,3
179,exporters,2
180,come,5
181,mindset,1
182,encouraged,1
183,bold,1
184,ready,2
185,position,5
186,strength,2
187,self,2
188,confidence,3
189,statement,7
190,ministry,11
191,actively,1
192,pursuing,1
193,deals,1
194,several,13
195,countries,11
196,including,17
197,uk,15
198,new,26
199,zealand,1
200,european,8
201,union,2
202,interesting,1
203,turn,1
204,events,2
205,homegrown,1
206,telecoms,1
207,giants,2
208,reliance,1
209,jio,1
210,bharti,1
211,airtel,1
212,teamed,1
213,ally,1
214,elon,5
215,musk,22
216,spacex,2
217,launch,1
218,satellite,2
219,internet,2
220,via,1
221,starlink,1
222,move,4
223,surprised,1
224,especially,10
225,clashes,1
226,came,5
227,officials,5
228,negotiate,1
229,rapid,3
230,growth,6
231,late,3
232,1990s,2
233,2000s,1
234,2004,3
235,2009,2
236,46,1
237,2014,1
238,large,8
239,part,9
240,gradual,1
241,integration,1
242,particularly,5
243,software,2
244,autos,1
245,textiles,2
246,garments,1
247,alongside,2
248,steady,1
249,reduction,2
250,since,28
251,inwards,1
252,economists,1
253,policies,2
254,past,11
255,decade,5
256,undermined,1
257,make,8
258,initiative,3
259,prioritised,1
260,capital,3
261,technology,4
262,intensive,2
263,labour,2
264,ones,2
265,result,3
266,struggled,1
267,boost,2
268,manufacturing,2
269,fostered,1
270,industries,2
271,discouraging,1
272,investments,1
273,efficiency,2
274,viral,3
275,acharya,2
276,professor,7
277,economics,2
278,york,2
279,university,23
280,stern,1
281,school,9
282,business,11
283,allowed,2
284,cosy,1
285,incumbents,1
286,gain,3
287,market,7
288,power,6
289,consolidating,1
290,positions,3
291,without,13
292,facing,3
293,much,12
294,competition,3
295,mr,41
296,former,12
297,central,5
298,banker,1
299,noted,4
300,paper,1
301,brookings,1
302,institution,1
303,restoring,2
304,industrial,3
305,balance,1
306,requires,2
307,reducing,3
308,reduce,1
309,already,6
310,higher,6
311,increases,1
312,damaging,1
313,need,12
314,afford,1
315,strategy,4
316,due,8
317,massive,3
318,export,1
319,base,1
320,hold,6
321,small,5
322,rajeswari,1
323,sengupta,3
324,associate,1
325,mumbai,1
326,based,15
327,indira,1
328,gandhi,1
329,institute,1
330,development,3
331,conflict,5
332,hurt,1
333,others,9
334,light,5
335,undergoes,1
336,shift,3
337,unique,1
338,shape,1
339,vision,2
340,says,63
341,aseema,1
342,sinha,2
343,expert,3
344,claremont,1
345,mckenna,1
346,college,4
347,lowering,1
348,barriers,3
349,south,6
350,asia,2
351,strengthening,2
352,southeast,1
353,middle,2
354,east,5
355,chance,3
356,lead,9
357,shaping,2
358,positioning,1
359,key,6
360,player,1
361,globalised,1
362,ms,22
363,author,1
364,globalising,1
365,become,6
366,regional,2
367,cross,1
368,magnet,2
369,activity,2
370,drawing,1
371,varied,1
372,powers,1
373,orbit,1
374,adds,2
375,create,2
376,jobs,6
377,desperately,1
378,needs,4
379,home,15
380,agriculture,1
381,makes,7
382,15,3
383,gdp,3
384,accounts,2
385,40,4
386,employment,5
387,reflecting,1
388,extremely,1
389,low,6
390,productivity,1
391,construction,3
392,remains,9
393,second,8
394,employer,1
395,absorbing,1
396,casual,1
397,daily,2
398,workers,4
399,expanding,2
400,thriving,2
401,service,5
402,sector,3
403,nearly,6
404,half,4
405,total,6
406,dealing,1
407,pool,1
408,unskilled,3
409,lack,4
410,basic,1
411,skills,1
412,needed,4
413,end,10
414,majority,3
415,workforce,4
416,uneducated,1
417,underemployed,1
418,relegated,1
419,informal,1
420,provide,9
421,meaningful,2
422,millions,4
423,entering,4
424,year,37
425,must,4
426,ramp,1
427,relying,1
428,solely,1
429,address,4
430,force,22
431,one,42
