,word,frequency
0,fox,61
1,news,40
2,breaking,3
3,updates,1
4,latest,3
5,headlines,1
6,photos,1
7,videos,4
8,media,14
9,business,6
10,nation,10
11,audio,1
12,weather,7
13,outkick,7
14,noticias,4
15,books,1
16,today,1
17,u,7
18,crime,7
19,immigration,7
20,terror,3
21,true,3
22,bryan,3
23,kohberger,3
24,politics,6
25,trumps,16
26,first,9
27,100,7
28,days,7
29,senate,4
30,house,6
31,judiciary,3
32,foreign,3
33,policy,8
34,polls,3
35,elections,4
36,world,8
37,n,3
38,conflicts,3
39,terrorism,3
40,disasters,3
41,global,3
42,economy,7
43,environment,3
44,religion,3
45,scandals,3
46,opinion,8
47,coverage,3
48,entertainment,5
49,exclusives,3
50,country,3
51,music,5
52,royals,3
53,blake,3
54,lively,4
55,diddy,3
56,game,9
57,shows,8
58,hot,3
59,sports,7
60,nfl,7
61,college,6
62,football,4
63,mlb,3
64,nba,3
65,nhl,4
66,golf,4
67,tennis,3
68,soccer,3
69,ufc,3
70,wwe,3
71,lifestyle,6
72,maha,5
73,health,11
74,travel,9
75,food,8
76,drink,4
77,games,12
78,quizzes,4
79,video,10
80,ai,2
81,expand,19
82,collapse,19
83,search,6
84,log,1
85,watch,14
86,tv,3
87,menu,19
88,home,4
89,trump,41
90,address,15
91,ukraine,2
92,gene,8
93,hackman,7
94,trending,1
95,sp500,1
96,comp,1
97,dji,1
98,daily,3
99,crossword,6
100,puzzle,9
101,downwords,4
102,crazy,5
103,crystals,5
104,match,8
105,3,21
106,word,11
107,swap,5
108,mini,3
109,stack,5
110,block,3
111,5,14
112,across,6
113,letter,3
114,deals,5
115,personal,5
116,finance,4
117,markets,3
118,watchlist,3
119,real,5
120,estate,3
121,tech,9
122,science,3
123,air,7
124,space,3
125,security,3
126,innovation,3
127,military,6
128,planet,3
129,earth,3
130,wild,3
131,nature,3
132,live,5
133,programming,3
134,schedule,4
135,personalities,3
136,full,5
137,episodes,4
138,show,5
139,clips,6
140,apps,3
141,products,4
142,go,4
143,shop,4
144,radio,4
145,newsletters,5
146,podcasts,4
147,contact,4
148,us,15
149,careers,2
150,around,3
151,advertise,2
152,relations,2
153,corporate,2
154,infromation,1
155,compliance,2
156,facebook,2
157,twitter,2
158,instagram,2
159,youtube,2
160,flipboard,2
161,linkedin,2
162,slack,2
163,rss,2
164,spotify,2
165,iheartradio,2
166,updated,2
167,terms,2
168,use,4
169,new,7
170,privacy,4
