,word,frequency
0,material,55
1,may,54
2,2025,50
3,reserved,45
4,quotes,42
5,displayed,42
6,delayed,45
7,least,42
8,15,44
9,minutes,47
10,market,47
11,factset,84
12,powered,42
13,implemented,42
14,digital,93
15,solutions,42
16,legal,53
17,statement,66
18,mutual,38
19,fund,38
20,etf,38
21,refinitiv,38
22,lipper,38
23,former,31
24,fbi,62
25,agent,12
26,nicole,6
27,parker,12
28,says,16
29,new,21
30,leadership,10
31,make,14
32,premier,4
33,law,28
34,enforcement,18
35,agency,39
36,following,9
37,arrests,2
38,three,18
39,wanted,32
40,fugitives,14
41,prompt,2
42,success,2
43,capturing,2
44,since,17
45,president,67
46,trump,106
47,took,14
48,office,31
49,according,13
50,director,14
51,kash,8
52,patel,18
53,announced,6
54,tuesday,10
55,apprehended,2
56,10,12
57,list,16
58,jan,21
59,20,17
60,proud,2
61,work,4
62,really,10
63,excited,4
64,see,9
65,already,8
66,arrested,12
67,several,4
68,contributor,4
69,told,27
70,2017,6
71,first,20
72,administration,37
73,violent,12
74,crime,22
75,miami,2
76,specifically,2
77,remember,2
78,top,15
79,priority,2
80,focus,9
81,criminals,8
82,believes,2
83,second,6
84,term,2
85,americans,20
86,care,4
87,making,4
88,america,30
89,safe,4
90,focusing,2
91,taking,7
92,street,3
93,captured,8
94,3rd,2
95,fugitive,14
96,let,14
97,good,22
98,cops,16
99,speaks,4
100,swearing,2
101,ceremony,2
102,washington,16
103,feb,13
104,21,6
105,oliver,2
106,epa,2
107,bloomberg,6
108,via,13
109,getty,30
110,images,32
111,justice,11
112,department,80
113,u,23
114,attorney,10
115,general,11
116,pam,4
117,bondi,6
118,third,2
119,ten,10
120,january,11
121,happens,4
122,accident,2
123,wrote,11
124,x,10
125,giving,6
126,ag,2
127,resources,10
128,get,40
129,job,9
130,done,5
131,stop,7
132,special,8
133,worked,4
134,pick,2
135,opinion,2
136,number,5
137,one,24
138,follows,2
139,roman,8
140,bardales,8
141,47,2
142,alleged,8
143,ms,8
144,13,22
145,key,2
146,senior,2
147,leader,7
148,accused,16
149,racketeering,2
150,conspiracy,10
151,provide,4
152,conceal,2
153,support,18
154,terrorists,2
155,narco,2
156,terrorism,2
157,alien,2
158,smuggling,2
159,adds,2
160,meza,2
161,flores,2
162,transnational,4
163,criminal,10
164,organization,3
165,francisco,2
166,javier,2
167,extradited,8
168,united,10
169,states,37
170,mexican,2
171,authorities,4
172,custody,4
173,mexico,6
174,monday,11
175,proceedings,2
176,held,7
177,accountable,7
178,extreme,2
179,depraved,2
180,violence,2
181,terror,2
182,allegedly,14
183,brought,2
184,streets,4
185,across,4
186,north,2
187,acting,6
188,assistant,4
189,charge,12
190,york,2
191,field,9
192,leslie,2
193,backschies,2
194,arrest,12
195,along,4
196,partners,4
197,committed,2
198,eradicating,8
199,organizations,2
200,wherever,2
201,operate,2
202,protect,6
203,nation,11
204,30,6
205,arnoldo,6
206,jimenez,6
207,murdering,4
208,wife,5
209,found,10
210,dead,2
211,bathtub,2
212,apartment,2
213,less,4
214,48,4
215,hours,10
216,married,4
217,burbank,6
218,illinois,3
219,2012,2
220,also,18
221,fleeing,2
222,avoid,8
223,prosecution,4
224,ill,2
225,extremely,2
226,appreciative,2
227,police,34
228,public,18
229,tremendous,2
230,investigative,2
231,efforts,2
232,collaboration,2
233,capture,2
234,douglas,2
235,depodesta,2
236,chicago,2
237,use,48
238,available,8
239,bring,2
240,matter,9
241,much,4
242,passed,4
243,world,14
244,place,10
245,florida,12
246,lady,4
247,lake,4
248,sgt,2
249,michelle,2
250,bilbrey,2
251,60,8
252,year,16
253,old,2
254,donald,28
255,eugene,4
256,fields,8
257,ii,9
258,routine,2
259,traffic,2
260,25,2
261,charged,6
262,child,16
263,sex,6
264,trafficking,4
265,rape,4
