,word,frequency
0,news,41
1,breaking,2
2,updates,1
3,latest,4
4,headlines,1
5,photos,1
6,videos,4
7,media,13
8,business,6
9,nation,10
10,audio,1
11,weather,6
12,outkick,7
13,noticias,4
14,books,2
15,today,2
16,u,7
17,crime,8
18,immigration,5
19,terror,3
20,true,3
21,bryan,4
22,kohberger,4
23,politics,7
24,trumps,9
25,first,15
26,100,7
27,days,10
28,senate,4
29,house,7
30,judiciary,3
31,foreign,4
32,policy,9
33,polls,3
34,elections,4
35,world,7
36,n,3
37,conflicts,3
38,terrorism,3
39,disasters,3
40,global,3
41,economy,7
42,environment,3
43,religion,3
44,scandals,3
45,opinion,8
46,coverage,4
47,entertainment,8
48,exclusives,3
49,country,5
50,music,5
51,royals,3
52,gene,12
53,hackman,11
54,blake,3
55,lively,3
56,diddy,3
57,game,9
58,shows,7
59,hot,5
60,sports,8
61,nfl,4
62,college,7
63,football,4
64,mlb,3
65,nba,6
66,nhl,3
67,golf,4
68,tennis,4
69,soccer,3
70,ufc,3
71,wwe,3
72,lifestyle,7
73,maha,3
74,health,10
75,travel,10
76,food,11
77,drink,4
78,games,12
79,quizzes,4
80,video,13
81,ai,2
82,expand,19
83,search,6
84,log,1
85,watch,15
86,tv,3
87,home,6
88,israel,5
89,hamas,4
90,ceasefire,2
91,doge,4
92,trending,1
93,sp500,1
94,comp,1
95,dji,1
96,daily,3
97,crossword,6
98,puzzle,9
99,downwords,4
100,crazy,6
101,crystals,4
102,match,7
103,word,11
104,swap,4
105,mini,3
106,stack,4
107,block,4
108,across,6
109,letter,3
110,deals,5
111,personal,6
112,finance,4
113,markets,3
114,watchlist,3
115,real,6
116,estate,3
117,tech,9
118,science,3
119,air,8
120,space,6
121,security,4
122,innovation,3
123,military,9
124,planet,3
125,earth,5
126,wild,3
127,nature,3
128,live,7
129,programming,3
130,schedule,3
131,personalities,3
132,full,4
133,episodes,4
134,show,5
135,clips,6
136,apps,3
137,products,4
138,go,6
139,shop,4
140,radio,4
141,newsletters,5
142,podcasts,4
143,contact,4
144,us,20
145,careers,2
146,around,4
