,word,frequency
0,material,47
1,may,67
2,2025,56
3,reserved,47
4,quotes,42
5,displayed,42
6,delayed,51
7,least,45
8,15,44
9,minutes,51
10,market,47
11,factset,84
12,powered,42
13,implemented,42
14,digital,87
15,solutions,42
16,legal,76
17,statement,56
18,mutual,42
19,fund,42
20,etf,42
21,refinitiv,42
22,lipper,42
23,trump,125
24,administration,47
25,seeks,2
26,end,13
27,manhattan,2
28,toll,2
29,program,2
30,new,21
31,york,13
32,officials,9
33,push,2
34,back,16
35,credit,2
36,u,39
37,department,16
38,transportation,12
39,president,164
40,donald,32
41,demanding,2
42,city,18
43,transit,4
44,authority,8
45,reduce,7
46,crime,24
47,across,20
48,face,6
49,big,8
50,cuts,8
51,federal,26
52,funding,32
53,secretary,17
54,sean,6
55,duffy,12
56,issued,4
57,ultimatum,2
58,metro,4
59,mta,12
60,letter,6
61,tuesday,23
62,saying,6
63,restore,4
64,order,16
65,government,20
66,currently,3
67,supplies,2
68,billions,2
69,dollars,4
70,trend,2
71,violent,8
72,homelessness,2
73,threats,4
74,public,18
75,safety,16
76,one,25
77,nation,4
78,prominent,2
79,systems,2
80,unacceptable,2
81,years,20
82,soft,2
83,policies,2
84,stepping,2
85,wrote,12
86,commuters,2
87,sick,2
88,tired,4
89,feeling,2
90,like,22
91,jeopardize,2
92,get,43
93,work,9
94,go,12
95,school,8
96,travel,4
97,around,12
98,continue,5
99,fight,2
100,ensure,4
101,tax,2
102,going,11
103,towards,4
104,free,4
105,commute,2
106,added,19
107,guardian,2
108,angels,2
109,resume,4
110,patrols,4
111,subway,8
112,burning,2
113,death,8
114,never,9
115,seen,12
116,bad,8
117,sec,2
118,threatened,6
119,nyc,4
120,lower,6
121,rates,2
122,eduardo,2
123,munozalvarez,2
124,viewpress,2
125,samuel,2
126,corum,2
127,sipa,2
128,bloomberg,10
129,via,28
130,getty,32
131,images,32
132,requests,4
133,fare,6
134,evasion,6
135,worker,2
136,assaults,4
137,customer,2
138,police,2
139,also,34
140,accounting,2
141,used,10
142,address,2
143,security,6
144,system,10
145,appreciate,2
146,prompt,2
147,attention,4
148,matter,4
149,avoid,6
150,consequences,6
151,including,10
152,redirecting,2
153,withholding,2
154,hochul,2
155,christmastime,2
156,boast,2
157,safer,2
158,came,3
159,amid,9
160,string,2
161,alarming,2
162,attacks,6
163,chief,10
164,policy,38
165,external,2
166,relations,8
167,john,2
168,mccarthy,6
169,argued,4
170,moving,2
171,right,21
172,direction,4
173,responding,3
174,40,6
175,compared,2
176,period,2
177,2020,2
178,pandemic,4
179,far,2
180,fewer,2
181,daily,4
182,major,10
183,crimes,2
184,non,10
185,year,19
186,ever,12
187,adding,4
188,25,10
189,since,11
190,covid,4
191,echoes,2
192,claims,8
193,head,3
194,janno,2
195,lieber,6
196,made,31
197,january,8
198,suggested,6
199,recent,5
200,high,6
201,profile,6
202,gotten,4
203,people,31
204,heads,4
205,make,6
206,feel,6
207,unsafe,4
208,authorities,2
209,sought,5
210,ways,4
211,combat,2
212,michael,6
213,dorgan,2
214,click,27
215,app,18
216,comments,6
217,appearance,4
218,podcast,8
219,talks,4
220,arguing,2
221,overall,2
222,stats,2
223,positive,2
224,last,16
225,actually,2
226,12,3
227,less,4
228,2019,2
229,question,14
230,incidents,4
231,know,29
232,terrible,2
233,whole,4
234,safe,8
235,anders,4
236,hagstrom,4
237,reporter,8
238,covering,2
239,national,19
240,politics,14
241,breaking,2
242,events,3
243,send,4
244,tips,6
245,com,9
246,twitter,5
247,hagstrom_anders,2
248,latest,11
249,updates,6
250,2024,43
251,campaign,6
252,trail,6
253,exclusive,9
254,interviews,6
255,content,31
256,entering,18
257,email,18
258,clicking,18
259,subscribe,21
260,button,18
261,agree,37
262,privacy,18
263,terms,18
264,use,50
265,receive,20
266,promotional,18
267,communications,20
268,understand,22
269,opt,18
270,subscribed,36
271,successfully,20
272,newsletter,23
273,elon,13
274,musk,25
275,congratulates,3
276,spacex,21
277,team,13
278,excellent,7
279,bringing,5
280,home,14
281,stranded,11
282,astronauts,33
283,addresses,6
