,word,frequency
0,news,37
1,breaking,4
2,updates,1
3,latest,3
4,headlines,1
5,photos,1
6,videos,4
7,media,13
8,business,7
9,nation,14
10,audio,5
11,weather,7
12,outkick,7
13,noticias,4
14,books,1
15,today,2
16,u,7
17,crime,9
18,immigration,6
19,terror,3
20,true,3
21,bryan,6
22,kohberger,6
23,politics,7
24,trumps,12
25,first,9
26,100,6
27,days,6
28,senate,4
29,house,6
30,judiciary,3
31,foreign,5
32,policy,9
33,polls,3
34,elections,4
35,world,11
36,n,3
37,conflicts,3
38,terrorism,4
39,disasters,3
40,global,3
41,economy,8
42,environment,3
43,religion,3
44,scandals,3
45,opinion,5
46,coverage,3
47,entertainment,4
48,exclusives,3
49,country,4
50,music,4
51,royals,3
52,blake,6
53,lively,7
54,diddy,3
55,game,9
56,shows,7
57,hot,3
58,sports,11
59,nfl,4
60,college,6
61,football,4
62,mlb,3
63,nba,4
64,nhl,4
65,golf,3
66,tennis,3
67,soccer,3
68,ufc,3
69,wwe,3
70,lifestyle,6
71,maha,4
72,health,7
73,travel,11
74,food,7
75,drink,5
76,games,12
77,quizzes,4
78,video,14
79,ai,2
80,expand,19
81,collapse,19
82,search,6
83,log,1
84,watch,17
85,tv,3
86,menu,20
87,home,5
88,israel,5
89,hamas,6
90,ceasefire,3
91,ukraine,3
92,gene,6
93,hackman,4
94,trending,1
95,sp500,1
96,comp,1
97,dji,1
98,daily,3
99,crossword,6
100,puzzle,9
101,downwords,4
102,crazy,5
103,crystals,5
104,match,8
105,3,21
106,word,11
107,swap,4
108,mini,3
109,stack,5
110,block,3
111,5,14
112,across,5
113,letter,3
114,deals,5
115,personal,5
116,finance,4
117,markets,3
118,watchlist,3
119,real,6
120,estate,3
121,tech,9
122,science,3
123,air,8
124,space,8
125,security,3
126,innovation,3
127,military,4
128,planet,3
129,earth,3
130,wild,3
131,nature,3
132,live,8
133,programming,3
134,schedule,3
135,personalities,3
136,full,4
137,episodes,4
138,show,6
139,clips,6
140,apps,3
141,products,4
142,go,8
143,shop,4
144,radio,4
145,newsletters,5
146,podcasts,4
147,contact,4
148,us,15
149,careers,2
150,around,2
151,advertise,2
152,relations,2
153,corporate,2
154,infromation,1
155,compliance,2
156,facebook,2
157,twitter,2
158,instagram,2
159,youtube,2
160,flipboard,2
161,linkedin,2
162,slack,2
163,rss,2
164,spotify,2
165,iheartradio,2
166,updated,2
167,terms,2
168,use,3
169,new,9
170,privacy,4
171,choices,2
172,closed,2
173,caption,2
174,help,3
175,accessibility,2
176,statement,4
177,material,2
178,may,5
179,published,2
180,broadcast,2
181,rewritten,2
182,redistributed,2
183,2025,3
184,network,3
185,llc,2
186,rights,3
187,reserved,2
188,quotes,2
189,displayed,2
190,time,4
191,delayed,2
192,least,2
193,15,2
194,minutes,2
195,market,2
196,data,5
197,provided,4
198,factset,4
199,powered,2
200,implemented,2
201,digital,4
202,solutions,2
203,legal,5
204,mutual,2
205,fund,2
206,etf,2
207,refinitiv,2
208,lipper,2
209,shots,1
210,fired,2
211,trump,39
212,fda,2
213,nominee,1
214,flips,2
215,question,1
216,democrat,4
217,recalls,2
218,controversial,1
219,biden,3
220,decision,1
221,run,2
222,surviving,3
223,roommates,3
224,haunting,1
225,text,3
226,messages,3
227,night,4
228,idaho,3
229,massacre,2
230,released,1
231,min,38
232,read,39
233,transcript,1
234,frantic,1
235,911,2
236,call,3
