,word,frequency
0,news,37
1,breaking,4
2,updates,1
3,latest,3
4,headlines,1
5,photos,1
6,videos,4
7,media,13
8,business,7
9,nation,14
10,audio,5
11,weather,7
12,outkick,7
13,noticias,4
14,books,1
15,today,2
16,u,7
17,crime,9
18,immigration,6
19,terror,3
20,true,3
21,bryan,6
22,kohberger,6
23,politics,8
24,trumps,13
25,first,9
26,100,6
27,days,6
28,senate,4
29,house,7
30,judiciary,3
31,foreign,6
32,policy,9
33,polls,3
34,elections,4
35,world,11
36,n,3
37,conflicts,3
38,terrorism,4
39,disasters,4
40,global,3
41,economy,8
42,environment,3
43,religion,3
44,scandals,3
45,opinion,5
46,coverage,3
47,entertainment,4
48,exclusives,3
49,country,4
50,music,4
51,royals,3
52,blake,6
53,lively,7
54,diddy,3
55,game,9
56,shows,7
57,hot,3
58,sports,10
59,nfl,3
60,college,6
61,football,4
62,mlb,3
63,nba,4
64,nhl,3
65,golf,3
66,tennis,3
67,soccer,3
68,ufc,3
69,wwe,3
70,lifestyle,6
71,maha,4
72,health,7
73,travel,11
74,food,7
75,drink,5
76,games,12
77,quizzes,4
78,video,15
79,ai,2
80,expand,19
81,search,6
82,log,1
83,watch,16
84,tv,3
85,home,5
86,israel,4
87,hamas,5
88,ceasefire,3
89,ukraine,3
90,gene,6
91,hackman,4
92,trending,1
93,sp500,1
94,comp,1
95,dji,1
96,daily,3
97,crossword,6
98,puzzle,9
99,downwords,4
100,crazy,5
101,crystals,5
102,match,8
103,word,11
104,swap,4
105,mini,3
106,stack,5
107,block,3
108,across,5
109,letter,3
110,deals,5
111,personal,5
112,finance,4
113,markets,3
114,watchlist,3
115,real,7
116,estate,3
117,tech,9
118,science,3
119,air,8
120,space,8
121,security,3
122,innovation,3
123,military,4
124,planet,3
125,earth,3
126,wild,3
127,nature,3
128,live,8
129,programming,3
130,schedule,3
131,personalities,3
132,full,4
133,episodes,4
134,show,6
135,clips,6
136,apps,3
137,products,4
138,go,8
139,shop,4
140,radio,4
141,newsletters,5
142,podcasts,4
143,contact,4
144,us,16
145,careers,2
146,around,2
147,advertise,2
148,relations,2
149,corporate,2
150,infromation,1
151,compliance,2
152,facebook,2
153,twitter,2
154,instagram,2
155,youtube,2
156,flipboard,2
157,linkedin,2
158,slack,2
159,rss,2
160,spotify,2
161,iheartradio,2
162,updated,2
163,terms,2
164,use,3
165,new,9
166,privacy,4
167,choices,2
168,closed,2
169,caption,2
170,help,3
171,accessibility,2
172,statement,4
173,material,2
174,may,5
175,published,2
176,broadcast,2
177,rewritten,2
178,redistributed,2
179,2025,3
180,network,3
181,llc,2
182,rights,3
183,reserved,2
184,quotes,2
185,displayed,2
186,time,4
187,delayed,2
188,least,2
189,15,2
190,minutes,2
191,market,2
192,data,5
193,provided,4
194,factset,4
195,powered,2
196,implemented,2
197,digital,4
198,solutions,2
199,legal,5
200,mutual,2
201,fund,2
202,etf,2
203,refinitiv,2
204,lipper,2
205,shots,1
206,fired,2
207,trump,39
208,fda,2
209,nominee,1
210,flips,2
211,question,1
212,democrat,4
213,recalls,2
214,controversial,3
215,biden,3
216,decision,1
217,run,2
218,surviving,3
219,roommates,3
220,haunting,1
221,text,3
222,messages,3
223,night,4
224,idaho,3
225,massacre,2
226,released,1
227,transcript,1
228,frantic,1
229,911,2
230,call,3
231,scrambles,1
232,hide,1
233,amazon,1
234,shopping,1
235,cart,1
