,Sentence,Polarity,Subjectivity
0,President Donald Trump has spent his first months in office negotiating with world leaders on wars and tariffs.,0.075,0.21666666666666667
1,The BBC's Anthony Zurcher takes a closer look at the US president's negotiation strategy with top world leaders.,0.5,0.5
2,,0.0,0.0
3,Filmed and edited by Meiying Wu,0.0,0.0
4,Produced by Isabelle Rodd and Ben Bevington,0.0,0.0
5,Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.,-0.03333333333333333,0.25
6,,0.0,0.0
7,The family of a missing University of Pittsburgh student has asked the Dominican Republic's national police that she be declared dead.,-0.2,0.225
8,"Sudiksha Konanki, 20, disappeared on spring break while in the Dominican Republic. She was last seen at a hotel around 04:00 local time on 6 March.",0.0,0.03333333333333333
9,"The Dominican Republic's police confirmed to the BBC that they had received the request from Ms Konanki's family, but did not provide additional details.",0.4,1.0
10,"Police have been searching for her for the past two weeks. Investigators are considering whether she may have drowned, but have not ruled out foul play.",-0.175,0.175
11,"Ms Konanki is a 20-year-old college student attending the University of Pittsburgh, where she studies biology and chemistry.",0.0,0.0
12,"The college junior travelled with a group of five female friends to a resort in Punta Cana on a spring break trip, according to the Loudoun County Sheriff's Office.",0.0,0.16666666666666666
13,"She is a citizen of India and a permanent resident of the United States. She lives with her family in Chantilly, Virginia, located in Loudoun County.",0.0,0.0
14,Ms Konanki was last seen early in the morning of 6 March.,0.05,0.18333333333333332
15,Surveillance video shows her and a group of friends walking toward the beach.,0.0,0.0
16,She was with five women and two American men in the video.,0.0,0.0
17,"Ms Konanki stayed on the beach with one of the men as the others returned to the hotel, Dominican police told the BBC's news partner CBS.",0.0,0.0
18,Dominican President Luis Abinader said earlier this week during a news conference that the last person who had contact with Ms Konanki reported a wave hit them while they were on the beach.,0.0,0.2833333333333333
19,"The parents of the man - Joshua Riibe - last seen with Ms Konanki released a statement to CBS News saying they hope Ms Konanki is ""found as soon as possible"".",0.0,0.5333333333333333
20,Riibe is a senior at St Cloud State University in Minnesota.,0.0,0.0
21,"""We recognise that this is a complex and painful situation for all parties involved, and we trust that the investigation will be conducted with transparency and justice. Our only interest is that due process be respected and that actions be taken with the fairness that the situation requires,"" the statement reads.",-0.28125,0.66875
22,The Dominican Republic's national police told the BBC that they had received a request from Ms Konanki's family to declare her dead.,-0.2,0.4
23,Officials have said that they have spent dozens of hours looking for the missing student.,-0.15000000000000002,0.07500000000000001
24,Police are dividing search areas and assigning drones to certain sectors.,0.21428571428571427,0.5714285714285714
25,Pilots are monitoring footage that is being uploaded to a command centre where AI is looking to identify objects in the ocean.,0.0,0.0
26,Search crews are looking in water and on land.,0.0,0.0
27,Authorities say it's not clear whether foul play was involved in Ms Konanki's disappearance.,-0.05000000000000001,0.3833333333333333
28,There was no blood or signs of violence found at the beach.,0.0,0.0
29,"The University of Pittsburgh, where Ms Konanki is a student, said in a statement they are working with the Federal Bureau of Investigations, the Drug Enforcement Administration, Department of Homeland Security and local authorities in response to her disappearance.",0.0,0.0
30,"The International Criminal Police Organization, known as Interpol, issued a global alert after Ms Konanki went missing.",-0.15000000000000002,0.15000000000000002
31,"The yellow notice is for missing persons such as victims of kidnappings or ""unexplained disappearances"".",-0.0625,0.1375
32,Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.,-0.03333333333333333,0.25
33,,0.0,0.0
34,"It took Arun George half a working life to scrape together £15,000 ($19,460) in savings, which he used to secure a care worker job for his wife in the UK.",0.11666666666666668,0.3833333333333333
35,"But in barely a few months, he lost it all.",-0.2,0.1
36,Mr George - not his real name as his wife doesn't want to be identified within their small community for the shame associated with having returned without a job - paid the money in late 2023 to the managers of Alchita Care.,-0.11666666666666665,0.43333333333333335
37,"The BBC has seen evidence of the payment to Alchita Care, the private domiciliary care home in Bradford that sponsored his family's visa. He did it at the behest of a local agent in his town in the southern Indian state of Kerala.",0.0,0.125
38,It was the promise of a better life for their child who has special needs that prodded the couple to dip into their savings and take such a risk. But when they got to the UK there was no work.,0.28571428571428575,0.5238095238095238
39,"""We kept chasing the care home, but they made up excuses. After I pleaded with them, they forced us to undergo some unpaid training and gave my wife just three days of work,"" Mr George said. ""We couldn't carry on and came back to India a few months later.""",-0.06000000000000001,0.14
40,"Mr George believes he has been scammed by the company and says the ordeal has set him back at least by a decade financially. His family is just one among hundreds of people from Kerala seeking work in the UK who have been exploited by recruiters, care homes and middlemen.",-0.09999999999999999,0.13333333333333333
41,Most have now given up hope of getting justice or their money.,0.5,0.5
42,Alchita Care in Bradford has not responded to the BBC's questions. Their sponsorship licence - which allows care homes to issue certificates of sponsorship to foreign care workers applying for visas - was removed by the Home Office last year.,-0.0625,0.09583333333333333
43,But at least three other care workers who sent thousands of pounds to Alchita Care and uprooted their lives from Kerala told us that the jobs they had been promised did not materialise.,-0.2125,0.3875
44,"One of them, still in the UK, said his condition was so precarious that he was surviving on ""bread and milk"" from charity shops for the past few months.",-0.225,0.175
45,"Like Mr George, Sridevi (not her real name) says she was charged £15,000 for a visa sponsorship by Alchita Care. She spent another £3,000 to get to the UK in 2023.",0.05,0.2
46,"She's unable to return to India, scared of facing family members and friends from whom she took a loan to make the trip.",-0.5,0.5
47,"""I struggle to even pay for my rent and meals,"" she said. Her job is a far cry from the stable eight-hour work she was promised, she says. She is sometimes on call from 4am to 9pm, driving from one patient's home to another, but gets paid only for the few hours she is actually with the patient, and not the full shift.",0.049999999999999996,0.55
48,"Thousands of nurses from Kerala, desperate to migrate to the UK every year, are estimated to have been exploited after the government added care workers to the UK's shortage occupation list during Covid. This allowed people to be recruited from overseas as long as they were sponsored.",-0.325,0.7
49,"For many, the care worker visa was a golden ticket to a better life as they could take family along.",0.43333333333333335,0.5
50,"Baiju Thittala, a Labour party member and the mayor of Cambridge, told the BBC he had represented at least 10 such victims over the last three years.",-0.09999999999999999,0.32222222222222224
51,"But the cross-border nature of these exploitative schemes means it has been incredibly hard to pursue justice, he said. Very often the victims have made payments to care homes or middlemen domiciled outside India which leads to ""jurisdiction problems"", he added.",-0.09791666666666667,0.29791666666666666
52,"Secondly, lawyers are expensive and most care workers, already in deep debt, can hardly afford to fight it out in the courts.",-0.058333333333333334,0.42833333333333334
53,"Thittala estimates at least 1,000-2,000 people from Kerala, directly or indirectly victims of these schemes, are still in the UK.",-0.09999999999999999,0.4
54,There are also hundreds of people scattered across Kerala's towns who lost money before they could even leave home.,0.0,0.0
55,"In the town of Kothamangalam, the BBC spoke to some 30 people who had collectively lost millions of dollars while trying to obtain a care visa that allows professionals to come to - or stay - in the UK to work in the social care sector.",0.03333333333333333,0.06666666666666667
56,All of them accused one agent - Henry Poulos and his agency Grace International in the UK and India - of robbing them of their life savings through fake job offers and sponsorship letters.,-0.13333333333333333,0.3333333333333333
57,"Mr Poulos even made some of them take a 2,500km journey to Delhi for visa appointments that were non-existent, they said.",0.0,0.0
58,"Shilpa, who lives in the town of Alleppey, told the BBC she had taken out a bank loan at a 13% interest rate to pay Mr Poulos, who gave her a fake certificate of sponsorship.",-0.5,1.0
59,"""I thought the UK would offer a good future for my three daughters, but now I am struggling to pay their school fees,"" she told the BBC.",0.35,0.36250000000000004
60,"""I have lost everything. My wife had left her job in Israel so that we could move to the UK,"" said another victim, Binu, breaking down. He made a comfortable £1,500 with his wife in Israel but has now been forced to take his children out of private school in Kerala because there's no money anymore.",-0.02175925925925927,0.28564814814814815
