,Sentence,Polarity,Subjectivity
0,Hundreds of thousands of homes are without power as Storm Alfred brings strong winds and heavy rains to Australia's central east coast.,0.07777777777777777,0.49444444444444446
1,"Initially called Cyclone Alfred, the weather front was downgraded to a tropical low with winds set to reach up to 85km/h, less strong than first forecast.",0.10333333333333332,0.2866666666666666
2,The BBC's Katy Watson reports from the Gold Coast.,0.0,0.0
3,Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.,-0.03333333333333333,0.25
4,,0.0,0.0
5,US Secretary of State Marco Rubio and Elon Musk have clashed with Poland's foreign minister over the use of the tech billionaire's Starlink satellite internet system in Ukraine.,-0.125,0.125
6,"Musk said on X that Ukraine's ""entire front line"" would collapse if he turned the system off. Radoslaw Sikorski responded, saying his country paid for its use in Ukraine and a threat to shut it down would result in a search for another network.",-0.07777777777777779,0.4569444444444445
7,"Rubio dismissed Sikorski's claims and told him to be grateful, while Musk called him a ""small man"".",-0.25,0.4
8,"The exchange appeared to lead to Polish PM Donald Tusk calling on his country's allies to show respect for their weaker partners, rather than arrogance.",0.0,0.0
9,Starlink's system is part of SpaceX's venture to provide high-speed internet to remote and underserved areas. It has been used extensively by the Ukrainian military.,-0.06666666666666667,0.2111111111111111
10,"Sunday's exchange started when Musk posted that Starlink was the ""backbone of the Ukrainian army"" and that ""their entire front line would collapse if I turned it off"".",0.0,0.625
11,"Sikorski then responded, saying that Poland was paying for the service.",0.0,0.0
12,"""Starlinks for Ukraine are paid for by the Polish Digitization Ministry at the cost of about $50 million per year,"" Sikorski wrote. ""The ethics of threatening the victim of aggression apart, if SpaceX proves to be an unreliable provider we will be forced to look for other suppliers.""",-0.05000000000000002,0.15625
13,"In response, Rubio said Sikorski was ""just making things up... no-one has made any threats about cutting Ukraine off from Starlink"".",-0.6,0.9
14,"""And say thank you because without Starlink Ukraine would have lost this war long ago and Russians would be on the border with Poland right now,"" he added.",0.11785714285714285,0.46785714285714286
15,"Musk later responded to Sikorski's post calling him a ""small man"".",-0.125,0.2
16,"""Be quiet, small man. You pay a tiny fraction of the cost. And there is no substitute for Starlink,"" he wrote.",-0.08333333333333333,0.41111111111111115
17,"On Monday morning Polish Prime Minister Tusk, without specifying who or what he was referring to, wrote on X: ""True leadership means respect for partners and allies.",0.35,0.65
18,"""Even for the smaller and weaker ones. Never arrogance. Dear friends, think about it.""",0.0,0.5
19,The Starlink terminals are key to Ukraine's army operations and have been used since the start of the Russian invasion in February 2022.,0.0,0.5
20,"There are tens of thousands of terminals in the country, including up to 500 bought by the US Department of Defence in June 2023.",0.0,0.0
21,"Starlink is one of, if not the most, reliable means of communication for Ukrainian troops.",0.5,0.5
22,"It is used for reconnaissance drones, which stream troops real-time battlefield data that allows for quick reactions to attacks.",0.3333333333333333,0.5
23,"This compensates for Ukraine's disadvantages in manpower, as the military does not need to keep large numbers of soldiers along the entire defensive line.",0.03809523809523809,0.3845238095238095
24,Drone footage also helps to direct artillery fire and identify targets for kamikaze drones.,0.1,0.4
25,"Requesting evacuation or providing the exact location of a target would also be much slower and more complicated without Starlink, as regular radio stations may be out of range, jammed or compromised.",0.05833333333333333,0.4378205128205128
26,Additional reporting by Abdujalil Abdurasulov,0.0,0.0
27,Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.,-0.03333333333333333,0.25
28,,0.0,0.0
29,"The former Bank of England boss, Mark Carney, will be Canada's next prime minister, at least for now. He will need all his experience handling global economic crises as the country faces a trade war launched by US President Donald Trump.",-0.019999999999999997,0.12000000000000002
30,Mark Carney was the first non-British person to become governor of the Bank of England in its more than 300-year history when he took the job in 2013.,0.375,0.41666666666666663
31,"He had previously steered his home country through the Great Recession as the governor of the Bank of Canada, the country's central bank, before being poached for Britain's top banking job.",0.2833333333333333,0.41666666666666663
32,"But unlike most PM-hopefuls, Carney has never held political office. Still, he won the contest to replace outgoing Prime Minister Justin Trudeau handily. Now, he must lead the country through one of its toughest challenges yet - an escalating trade war with its biggest trading partner, the United States.",0.3666666666666667,0.5
33,"But holding on to the role of PM will be a fight in and of itself. Canada's next federal election is scheduled for this October, but many expect it to be called as early as this month.",0.19999999999999998,0.26666666666666666
34,"Although Carney has travelled the globe, working for Goldman Sachs in places like New York, London and Tokyo, he was born in the remote northern town of Fort Smith, in the Northwest Territories.",0.018181818181818174,0.32727272727272727
35,"The son of a high-school principal, he went to Harvard University on scholarship where he played the most Canadian of sports, ice hockey. In 1995, he earned his PhD in economics from Oxford University.",0.5,0.5
36,"In 2003, he left the private sector to join the Bank of Canada as a deputy governor, then worked for the Department of Finance as senior associate deputy minister.",0.0,0.1875
37,"In 2007, he was appointed governor of the Bank of Canada, shortly before global markets crashed, sending the country into a deep recession. His leadership at the central bank is widely praised for helping the country avoid the worst of the crisis.",-0.18333333333333335,0.39166666666666666
38,"Although central bankers are notoriously circumspect, he was open about his intentions to keep interest rates low for at least a year, after dramatically cutting them.",-0.18,0.47000000000000003
39,That move would be credited for helping businesses keep investing even when the markets sank. He would go on to take a similar approach when he was lured back to London - this time as the governor of the Bank of England.,0.0,0.2
40,"In his time at the Bank's Threadneedle Street headquarters, he oversaw considerable changes in how the institution worked. At the start of his tenure, the Bank assumed responsibility for financial regulation after the abolition of the Financial Services Authority.",0.03333333333333333,0.15
41,"He is credited with modernising the Bank, appearing much more frequently in the media than his predecessor.",0.3,0.4
42,"In 2015, the Bank reduced the number of interest rate meetings from 12 to eight a year, and started publishing minutes alongside the announcement of interest rate decisions.",0.0,0.0
43,"Interest rates were anchored at historic lows when he took over, but he introduced a policy of ""forward guidance"", where the Bank would try to further support the economy and encourage lending by pledging not to raise rates until unemployment fell below 7%.",0.0,0.25
44,"Confusion about this policy saw an MP compare him to an ""unreliable boyfriend"", a monicker which stuck around long after the original controversy died down.",0.05648148148148147,0.47962962962962963
