,Sentence,Polarity,Subjectivity
0,Home - BBC NewsSkip to contentBritish Broadcasting CorporationWatch LiveHomeNewsSportBusinessInnovationCultureArtsTravelEarthAudioVideoLiveIsrael-Gaza WarWar in UkraineUS & CanadaUKAfricaAsiaAustraliaEuropeLatin AmericaMiddle EastIn PicturesBBC InDepthBBC VerifyHomeNewsIsrael-Gaza WarWar in UkraineUS & CanadaUKUK PoliticsEnglandN. IrelandN. Ireland PoliticsScotlandScotland,0.0,0.0
1,PoliticsWalesWales PoliticsAfricaAsiaChinaIndiaAustraliaEuropeLatin AmericaMiddle EastIn PicturesBBC InDepthBBC VerifySportBusinessExecutive LoungeTechnology of BusinessFuture of BusinessInnovationTechnologyScience & HealthArtificial IntelligenceAI v the MindCultureFilm & TVMusicArt & DesignStyleBooksEntertainment NewsArtsArts in MotionTravelDestinationsAfricaAntarcticaAsiaAustralia and PacificCaribbean & BermudaCentral,0.0,0.0
2,AmericaEuropeMiddle EastNorth AmericaSouth AmericaWorld’s TableCulture & ExperiencesAdventuresThe SpeciaListEarthNatural WondersWeather & ScienceClimate SolutionsSustainable BusinessGreen LivingAudioPodcastsRadioAudio,0.0,0.0
3,"FAQsVideoLiveLive NewsLive SportHomeNewsSportBusinessInnovationCultureArtsTravelEarthAudioVideoLiveWeatherNewslettersNewsNewsEuropean army chiefs to meet in Paris as US pauses intelligence sharing with UkraineMilitary aid and intelligence sharing are both on hold following a dramatic breakdown in relations.9 mins agoWorldUS confirms direct talks with Hamas over Gaza hostagesIsrael was consulted prior to the talks, according to the White House, after reports said the two sides were discussing the release of hostages.46 mins agoWorldMan swallows stolen Tiffanys earrings before police arrest him The man allegedly swallowed two pairs of earrings worth $769,500 (£597,000) hoping to avoid being charged with theft.2 hrs agoUS & CanadaUS top court rejects Trump bid to withhold $2bn in foreign aid The order is the latest in a legal battle challenging the Trump administrations efforts to cut foreign aid.5",0.09047619047619047,0.29642857142857143
4,"hrs agoUS & CanadaTrump exempts carmakers from tariffs temporarilyDonald Trump says carmakers will be spared a day after tariffs went into effect.2 hrs agoUS & CanadaUS confirms direct talks with Hamas over Gaza hostagesIsrael was consulted prior to the talks, according to the White House, after reports said the two sides were discussing the release of hostages.46 mins agoWorldChina says it is ready for any type of war with USThe comments come in response to US tariffs and as Beijing boosts defence spending by 7.2%.5 hrs agoWorldFact-checking Trumps address to CongressBBC Verify has looked into several claims made by Trump during his speech to Congress.11 hrs agoUS & CanadaNine things about Lesotho - the country Trump said nobody has ever heard ofLesotho is called the kingdom in the sky - it is the only country entirely above 1,000m.3 hrs agoAfricaMan swallows stolen Tiffanys earrings before police arrest him The man allegedly swallowed two pairs of earrings worth $769,500 (£597,000) hoping to avoid being charged with theft.2 hrs agoUS & CanadaUS and Israel reject Arab alternative to Trumps",0.045000000000000005,0.22000000000000003
5,Gaza plan9 hrs agoWorldSyria vows to destroy any remaining Assad-era chemical weapons1 hr agoMiddle EastScientists crack how aspirin might stop cancers from spreading6 hrs agoHealthDepraved and cowardly rapist may have attacked 50 more women7 hrs agoUKUS actor Jesse Eisenberg gets Polish citizenship10 hrs,0.15,0.25
6,"agoCultureTrump speechSix takeaways from Trumps big speech The president declares ""America is back"" as he spars with Democrats and gives a shout-out to Elon Musk.3",0.0,0.05
7,"hrs agoWorldLesotho shocked by Trumps remarks that nobody has heard of the countryLesotho says it is surprised by Trumps comments given its ""warm and cordial"" relations with the US.4 hrs agoAfricaWho is Elissa Slotkin, the Democrat who responded to Trumps speech?The newly elected Michigan senator accused the president of bringing chaos while failing to tackle the high prices Americans care about.16 hrs agoUS & CanadaYoung Republicans cheer Trump on from Texas watch party""Hes already surpassed all expectations"", Republicans say as they watch Trumps address to Congress.13 hrs agoUS & CanadaMore to exploreHow pausing US intelligence impacts Ukraines military operationWithout US intelligence, Ukraine will not be able to make such effective use of long-range Western weaponry, writes Paul Adams.2 hrs agoWorldZelenskys conciliatory letter to Trump suggests hes out of optionsThe Ukrainian leaders climb-down on security guarantees may be because the US is the only place he can turn to, writes BBC Ukraine correspondent James Waterhouse.4 hrs agoEuropeCat Burns: I never had music for queer girlsThe Go singer says shes entering a ""new era"" where shes comfortable sharing her love for women.20 hrs agoNewsbeatWhy does Trump want Greenland and what do its people think?The US president claims that control of the island is essential to American national and economic security.12 hrs agoWorldWhy did Andrew and Tristan Tate go to the US?The Tate brothers left Romania - where they face rape and human-trafficking charges, which they deny.10 hrs agoWorldZelenskys conciliatory letter to Trump suggests hes out of optionsThe Ukrainian leaders climb-down on security guarantees may be because the US is the only place he can turn to, writes BBC Ukraine correspondent James Waterhouse.4 hrs agoEuropeChildren evacuated from Gaza for medical treatmentThe first of an estimated 2,000 Gazan children needing medical treatment arrive in Jordan.14 hrs agoMiddle",0.12648760330578512,0.4548829201101929
8,EastCan Teslas EVs win over Indias price-conscious buyers?The EV giant has begun hiring in India and is reportedly hunting for showrooms in Delhi and,0.4,0.7
9,"Mumbai.23 hrs agoAsiaCat Burns: I never had music for queer girlsThe Go singer says shes entering a ""new era"" where shes comfortable sharing her love for women.20 hrs agoNewsbeatMost watched1Trumps Canada 51st state plan is not a joke, says Foreign Minister2Watch: US Congress members react to Trumps speech3Watch: Moment tornado rips roof off building in Oklahoma4Singer says supporting Alanis Morissette is nuts5Has Doge really found hundreds of billions of dollars in fraud?Also in newsWatch: Moment tornado rips roof off building in OklahomaNeighbourhoods were heavily damaged after tornadoes tore through areas of Oklahoma as part of a swath of severe weather that hit the state.4 hrs agoUS & CanadaUS and Israel reject Arab alternative to Trumps Gaza planThey say the Arab Leagues proposal for post-war reconstruction fails to address realities in Gaza.9 hrs agoWorldLeBron James first player to surpass 50,000 pointsLeBron James becomes the first player in NBA history to score 50,000 combined points as the Los Angeles Lakers beat the New Orleans Pelicans 136-115.14 hrs agoBasketballAdrien Brody scores Olivier nomination after Oscar winOther theatre acting nominees include Lesley Manville, Ben Whishaw, John Lithgow and Imelda Staunton.13",0.1081439393939394,0.3625631313131313
