,Sentence,Polarity,Subjectivity
15,"13 hrs agoUS & CanadaTrump pulls $400m from Columbia University, saying it failed to protect Jewish studentsThe Trump administration accuses the college of ""appalling inaction"" in the wake of student rallies.15 hrs agoUS & CanadaMost read1Bourbon is out, patriotism is in - How Canadians are facing Trump threats head on2Twelve injured in shooting at Toronto pub3European leaders back realistic Arab plan for Gaza4They lost 52 soldiers fighting alongside the US.",-0.13666666666666666,0.30666666666666664
16,"Now they feel threatened by Trump5What US, Russia and Europe are thinking ahead of fresh Ukraine talks6Is Trump reining in Musk after a cabinet showdown with secretaries?7Russian strikes kill at least 25, Ukraine says8Trump Turnberry vandalised by pro-Palestine group9What is hantavirus that killed Gene Hackmans wife10Canadian serial killers victim found in landfillSportLIVESix",-0.06875,0.23750000000000002
17,Nations: Scotland host Wales at Murrayfield - follow text updatesWatch live on BBC One and follow radio and text commentary as Scotland take on Wales in the Six Nations at Murrayfield.,0.13636363636363635,0.5
18,LIVEPremier League: Build-up to Brentford v Villa after Liverpool come from behind to winFollow BBC radio commentaries and live text coverage as Brentford host Aston Villa after Nottingham Forest beat Manchester City and Liverpool winLiverpool fight back to beat Southampton and go 16 points clearMohamed Salah scores two penalties as Liverpool come from behind to beat rock-bottom Southampton and move 16 points clear at the top of the Premier League.,-0.010606060606060619,0.46388888888888885
19,Bochum stun Bayern to spoil hosts 125th anniversaryBochum come from two goals down to stun 10-man Bayern Munich in the Bundesliga and spoil their 125-year anniversary celebrations.,-0.15555555555555559,0.2888888888888889
20,"Tariffs row makes World Cup more exciting - TrumpDonald Trump says the tensions between the United States and its 2026 World Cup co-hosts Canada and Mexico will make the tournament ""more exciting"".8 hrs agoWorld CupLIVEPremier League: Build-up to Brentford v Villa after Liverpool come from behind to winFollow BBC radio commentaries and live text coverage as Brentford host Aston Villa after Nottingham Forest beat Manchester City and Liverpool winLIVESix Nations: France inflict humbling defeat on Ireland - reactionListen to BBC Radio 5 Sports Extra commentary and follow live text updates as Ireland host France in the Six Nations.",0.18409090909090908,0.55
21,Ireland Grand Slam hopes ended by rampant FranceFrance take control of the Six Nations title race as they score 34 unanswered points to beat Ireland in Dublin and end the home sides Grand Slam hopes.,0.3,0.7333333333333334
22,1 hr agoIrelandLiverpool fight back to beat Southampton and go 16 points clearMohamed Salah scores two penalties as Liverpool come from behind to beat rock-bottom Southampton and move 16 points clear at the top of the Premier League.,0.05,0.3958333333333333
23,British Broadcasting CorporationHomeNewsSportBusinessInnovationCultureArtsTravelEarthAudioVideoLiveWeatherBBC ShopBBC in other languagesFollow BBC on:Terms of UseAbout the BBCPrivacy PolicyCookiesAccessibility HelpContact the BBCAdvertise with usDo not share or sell my infoContact technical supportCopyright 2025 BBC.,-0.041666666666666664,0.15833333333333333
24,All rights reserved.,0.0,0.0
25,The BBC is not responsible for the content of external sites.,-0.05,0.325
26,Read about our approach to external linking.,0.0,0.1
