,word,frequency
0,breaking,1
1,news,8
2,latest,3
3,videos,5
4,cnn,59
5,values,1
6,feedback,10
7,1,9
8,relevant,1
9,ad,17
10,2,7
11,encounter,1
12,technical,1
13,issues,3
14,video,29
15,player,2
16,slow,1
17,load,1
18,content,6
19,never,2
20,loaded,3
21,froze,1
22,finish,1
23,loading,2
24,start,1
25,audio,3
26,loud,1
27,prevented,2
28,slowed,1
29,page,1
30,moved,3
31,around,1
32,repetitive,1
33,ads,2
34,ive,1
35,seen,1
36,previously,1
37,cancel,1
38,submit,1
39,thank,1
40,effort,1
41,contribution,1
42,providing,1
43,much,2
44,appreciated,1
45,close,2
46,icon,1
47,us,13
48,world,8
49,politics,6
50,business,6
51,health,7
52,entertainment,6
53,style,6
54,travel,7
55,sports,5
56,science,5
57,climate,7
58,weather,7
59,ukraine,7
60,russia,4
61,war,10
62,israel,6
63,hamas,5
64,underscored,11
65,games,4
66,watch,9
67,listen,6
68,live,10
69,tv,8
70,subscribe,6
71,sign,12
72,account,12
73,settings,4
74,newsletters,7
75,topics,4
76,follow,6
77,edition,2
78,international,3
79,arabic,2
80,español,2
81,crime,2
82,justice,4
83,africa,2
84,americas,2
85,asia,2
86,australia,2
87,china,4
88,europe,3
89,india,2
90,middle,2
91,east,2
92,united,2
93,kingdom,2
94,scotus,2
95,congress,6
96,facts,3
97,first,4
98,2024,2
99,elections,2
100,tech,5
101,media,4
102,calculators,2
103,markets,6
104,pre,2
105,hours,3
106,fear,2
107,greed,2
108,investing,2
109,nightcap,2
110,life,6
111,better,3
112,fitness,4
113,food,8
114,sleep,4
115,mindfulness,2
116,relationships,2
117,movies,2
118,television,2
119,celebrity,3
120,innovate,2
121,foreseeable,2
122,future,3
123,mission,2
124,ahead,2
125,work,6
126,transformed,2
127,innovative,2
128,cities,3
129,arts,2
130,design,2
131,fashion,6
132,architecture,3
133,luxury,2
134,beauty,4
135,destinations,2
136,drink,2
137,stay,2
138,pro,2
139,football,4
140,college,3
141,basketball,3
142,baseball,2
143,soccer,2
144,olympics,2
145,hockey,2
146,space,4
147,unearthed,2
148,solutions,2
149,headlines,5
150,shorts,2
151,shows,5
152,z,2
153,cnn10,2
154,max,2
155,schedules,2
156,flashdocs,2
157,5,6
158,things,5
159,chasing,3
160,dr,2
161,sanjay,2
162,gupta,2
163,assignment,2
164,audie,2
165,cornish,2
166,one,5
167,thing,2
168,tug,2
169,political,2
170,briefing,2
171,axe,2
172,files,2
173,anderson,2
174,cooper,2
175,podcasts,3
176,electronics,2
177,home,4
178,reviews,2
179,deals,3
180,gifts,2
181,outdoors,2
182,pets,2
183,crossword,4
184,jumble,2
185,photo,3
186,shuffle,2
187,sudoblock,2
188,sudoku,2
189,quiz,2
190,photos,5
191,investigations,2
192,profiles,2
193,leadership,2
194,updates,3
195,trump,25
196,presidency,1
197,trending,1
198,tariffs,5
199,explained,1
200,target,2
201,boycott,2
202,gene,2
203,hackman,2
204,betsy,2
205,arakawa,2
206,blue,2
207,ghost,2
208,2026,1
209,cup,1
210,final,1
211,taco,2
212,bell,3
213,administration,2
214,plans,1
215,cut,2
216,70,3
217,000,4
218,jobs,1
219,va,1
220,show,12
221,al,2
222,drago,1
223,bloomberg,4
224,getty,23
225,images,23
226,veterans,1
227,affairs,1
228,told,1
229,doge,3
230,resize,1
231,workforce,1
232,according,5
233,internal,1
234,memo,1
235,obtained,1
236,takeaways,2
237,supreme,4
238,court,4
239,early,1
240,rulings,1
241,budget,1
242,cuts,3
243,firing,1
244,power,1
245,republicans,1
246,push,1
247,musk,3
248,let,1
249,vote,1
250,nih,1
251,pick,2
252,grilled,1
253,research,1
254,funding,1
255,senate,2
256,hearing,3
257,jose,1
258,luis,1
259,magana,1
260,ap,7
261,file,4
262,usda,1
263,employees,1
264,fired,2
265,en,1
266,masse,1
267,reinstated,1
268,workers,1
269,board,3
270,says,8
271,3,5
272,24,2
273,hear,1
274,stood,1
275,paula,1
276,reid,1
277,decision,1
278,kayla,1
279,bartkowski,1
280,mayors,1
281,4,2
282,sanctuary,1
283,defend,1
284,approach,1
285,immigration,1
286,enforcement,1
287,house,4
288,mauricio,1
289,palos,1
290,delays,1
291,auto,1
292,mexico,1
293,canada,2
294,month,1
295,trudeau,1
296,efforts,1
297,stop,2
298,good,1
299,enough,2
300,pay,1
301,gas,2
302,new,9
303,depends,1
304,canadians,1
305,react,1
306,22,1
307,sean,1
308,kilpatrick,1
309,canadian,1
310,press,1
311,teams,1
312,agree,3
313,meet,1
314,near,2
315,zelensky,1
316,aide,1
317,call,1
318,adviser,1
319,analysis,2
320,wants,2
321,security,1
322,guarantees,1
323,anyone,2
324,step,2
325,source,1
326,curated,1
327,channel,1
328,covering,1
329,major,2
330,events,1
