,word,frequency
0,white,15
1,house,22
2,ramping,2
3,efforts,4
4,make,9
5,good,8
6,president,28
7,donald,8
8,trump,64
9,long,7
10,held,5
11,promise,1
12,end,7
13,russia,10
14,ukraine,28
15,war,15
16,washington,5
17,moscow,5
18,kyiv,6
19,expected,2
20,send,3
21,officials,12
22,saudi,5
23,arabia,5
24,meetings,3
25,coming,4
26,days,9
27,follow,1
28,back,7
29,calls,5
30,week,10
31,ukrainian,12
32,volodymyr,2
33,zelensky,25
34,wednesday,27
35,russian,5
36,vladimir,2
37,putin,29
38,tuesday,15
39,foreign,5
40,leaders,2
41,agreed,10
42,pause,7
43,attacks,13
44,energy,16
45,targets,3
46,specifics,1
47,however,5
48,falls,3
49,well,7
50,short,2
51,broader,3
52,us,41
53,proposed,3
54,30,9
55,day,9
56,ceasefire,21
57,deal,10
58,earlier,7
59,month,7
60,still,3
61,murky,1
62,two,11
63,also,33
64,partial,3
65,according,19
66,administration,7
67,readout,10
68,call,29
69,went,1
70,say,14
71,technical,3
72,teams,2
73,meet,2
74,designed,2
75,hammer,1
76,specific,2
77,language,6
78,reached,3
79,areas,7
80,negotiation,1
81,including,7
82,broadening,1
83,agreement,3
84,black,2
85,sea,4
86,way,3
87,full,1
88,talks,6
89,involve,1
90,top,6
91,cabinet,1
92,level,1
93,state,15
94,department,5
95,next,4
96,steps,2
97,come,8
98,amid,2
99,deepening,1
100,questions,6
101,specifically,5
102,conversation,3
103,interpreted,1
104,continuing,2
105,bombarded,1
106,evening,2
107,news,2
108,conference,3
109,would,19
110,likely,2
111,apply,1
112,facilities,3
113,civilian,3
114,infrastructure,12
115,talked,1
116,received,3
117,signals,1
118,american,8
119,side,2
120,talking,1
121,strike,1
122,countries,2
123,separate,2
124,readouts,2
125,provided,3
126,kremlin,5
127,used,3
128,different,1
129,describe,2
130,temporary,3
131,related,7
132,referred,2
133,small,2
134,difference,1
135,could,14
136,significant,2
137,far,8
138,scope,1
139,pressed,3
140,discrepancy,1
141,jeff,1
142,zeleny,1
143,press,5
144,secretary,5
145,karoline,2
146,leavitt,3
147,defer,1
148,understanding,1
149,truth,3
150,marco,2
151,rubio,7
152,national,5
153,security,16
154,adviser,3
155,michael,2
156,waltz,5
157,first,11
158,read,1
159,briefing,1
160,room,1
161,podium,1
162,word,2
163,noting,2
164,prior,3
165,claimed,4
166,discussed,2
167,one,20
168,toward,2
169,fully,2
170,ending,3
171,strikes,8
172,wrote,6
173,x,9
174,supported,2
175,step,3
176,confirmed,5
177,ready,3
178,implement,1
179,key,5
180,question,1
181,aid,9
182,differed,1
183,commitments,2
184,regarding,4
185,shipments,1
186,weapons,1
187,intelligence,5
188,sharing,1
189,stated,1
190,condition,2
191,include,1
192,complete,1
193,cessation,1
194,military,17
195,provision,1
196,information,8
197,made,5
198,mention,2
199,concession,1
200,interview,4
201,fox,1
202,laura,1
203,ingraham,1
204,discussion,2
205,suspending,1
206,senior,1
207,reiterated,1
208,continue,5
209,signaled,1
210,results,1
211,announced,2
212,agree,2
213,remained,2
214,skeptical,1
215,intentions,1
216,executing,2
217,faith,4
218,overnight,3
219,carried,2
220,series,2
221,included,2
222,hitting,2
223,special,1
224,envoy,1
225,steve,1
226,witkoff,1
227,heavily,1
228,involved,2
229,negotiations,4
230,believed,1
231,approved,2
232,critical,2
233,continued,3
234,later,5
235,phone,5
236,briefed,1
237,share,1
238,closely,1
239,defense,9
240,staffs,1
241,battlefield,2
242,situation,5
243,evolved,1
244,team,1
245,counterparts,1
246,instructed,2
247,advisors,1
248,representatives,2
249,carry,1
250,work,6
251,quickly,2
252,possible,1
253,post,3
254,asked,6
255,additional,2
256,air,2
257,systems,2
258,patriot,1
259,missile,8
260,find,2
261,available,1
262,particularly,1
263,europe,5
264,raised,4
265,new,12
266,policy,3
267,brought,2
268,notion,1
269,helpful,1
270,running,1
271,electrical,1
272,nuclear,1
273,power,6
274,plants,3
275,adding,1
276,ownership,4
277,best,2
278,protection,2
279,support,5
280,unclear,2
281,whether,2
282,open,4
283,idea,4
284,proposal,3
285,hand,5
286,echoed,1
287,previously,1
288,unsigned,1
289,minerals,1
290,guarantees,2
291,argued,2
292,assets,1
293,offer,1
294,kind,2
295,guarantee,1
296,overall,1
297,framed,1
298,fantastic,2
299,cry,2
300,last,13
301,time,12
302,spoke,1
303,19,1
304,ago,3
305,oval,4
306,office,9
307,blowup,2
308,led,5
309,early,7
310,departure,1
311,road,4
312,lasting,3
313,peace,26
314,secured,1
315,fall,1
316,longer,1
317,term,1
318,vowed,1
319,deliver,1
320,sources,3
321,familiar,1
322,strategy,1
323,told,16
324,priority,2
325,assessing,1
326,concessions,1
327,willing,3
328,withdraw,1
329,forces,9
330,territory,7
331,seized,4
332,since,23
333,invading,1
334,appeared,2
335,progress,4
336,issue,2
337,represent,1
338,intense,1
339,diplomacy,3
340,aimed,1
341,invasion,2
342,three,11
343,years,6
344,signs,2
345,discouraging,1
346,refused,2
347,sign,1
348,framing,1
349,opening,1
350,dialogue,1
351,triumph,3
352,leader,3
353,trying,2
354,manipulate,1
355,ends,1
356,playing,1
357,public,3
358,relations,2
359,game,1
360,least,5
361,escape,2
362,blame,2
363,everything,2
364,apart,1
365,spinning,1
366,fiction,1
367,keep,3
368,alive,1
369,chances,1
370,process,3
371,developing,3
372,increasingly,1
373,tenuous,1
374,conceit,1
375,great,3
376,dealmaker,1
377,uniquely,1
378,able,1
379,forge,1
380,flatly,1
381,big,2
382,ask,3
383,quite,1
384,simply,1
385,yet,2
386,seen,3
387,set,5
388,conditions,4
389,never,1
390,survive,1
391,sovereign,1
392,want,3
393,alienate,1
394,offered,2
395,tantalizing,1
396,glimpse,1
397,relationship,3
398,draw,2
399,quick,1
400,learner,1
401,afford,2
402,repeat,1
403,disastrous,1
404,readily,1
405,agrees,2
406,almost,6
407,asks,1
408,ironically,1
409,meltdown,1
410,sparking,1
411,argument,1
412,cannot,2
413,trusted,1
414,agreements,1
415,proven,1
416,true,2
417,vying,1
418,attention,1
419,seeking,1
420,impeding,1
421,violent,1
422,night,7
423,accused,5
424,breaking,1
425,brokered,1
426,avoid,1
427,estrangement,1
428,even,3
429,minor,1
430,detail,1
431,undermines,1
432,bullish,2
433,statements,1
434,within,4
435,reach,2
436,publicly,2
437,ignored,1
438,intransigence,1
439,praising,1
440,tone,2
441,scheduling,1
442,russians,2
443,creating,1
444,illusion,1
445,important,3
446,aspect,1
447,offering,1
448,incentive,1
449,warring,1
450,sides,1
451,stay,1
452,table,2
453,case,1
454,alternate,1
455,reality,1
456,seems,5
457,intended,2
458,spare,2
459,blushes,1
460,predicted,1
461,solve,1
462,24,3
463,hours,2
464,voters,2
465,sent,1
466,clearly,1
467,got,2
468,better,2
469,unwilling,1
470,impose,1
471,leverage,1
472,strongman,1
473,eased,1
474,perhaps,1
475,flattering,1
476,hourlong,1
477,help,1
478,locate,1
479,vitally,1
480,needed,1
481,equipment,1
482,provide,3
483,cut,2
484,assistance,2
485,force,1
486,plan,1
487,rare,1
488,rebuke,1
489,halting,2
490,resources,2
491,joining,1
492,quest,1
493,permanent,2
494,completed,1
495,telephone,1
496,lasted,1
497,approximately,1
498,hour,2
499,social,4
500,much,5
501,based,2
502,yesterday,1
503,order,3
504,align,2
505,terms,2
506,requests,1
507,needs,1
508,track,6
509,assessment,2
510,absurdly,1
511,upbeat,1
512,weeks,4
513,calling,4
514,dictator,1
515,dream,1
516,away,3
517,ever,2
518,drama,1
519,somehow,1
520,start,2
521,real,2
522,push,1
523,conjure,1
524,fair,2
525,settlement,8
526,prove,1
527,doubters,1
528,wrong,2
529,get,6
530,demonstration,1
531,root,1
532,canal,1
533,agreeing,1
534,principle,1
535,rejecting,1
536,practice,3
537,flurry,1
538,requiring,1
539,capitulation,1
540,west,17
541,stalled,1
542,issues,3
543,give,2
544,exploit,1
545,current,4
546,edge,1
547,eject,1
548,troops,1
549,kursk,1
550,region,1
551,territorial,1
552,bargaining,1
553,chips,1
554,future,3
555,replacement,1
556,government,12
557,demobilization,1
558,desire,1
559,see,4
560,nato,1
561,retreat,1
562,eastern,1
563,changed,2
564,test,1
565,seriousness,1
566,yes,2
567,hope,1
568,going,8
569,think,4
570,unfortunately,1
571,know,4
572,impediment,1
573,standards,2
574,answered,2
575,negative,1
576,obvious,1
577,political,4
578,diplomatic,3
579,reasons,1
580,choice,1
581,pressing,1
582,finnish,1
583,minister,8
584,elina,1
585,valtonen,1
586,summed,1
587,isa,1
588,soares,1
589,wants,6
590,missing,1
591,unlikely,2
592,disengage,1
593,chance,1
594,create,3
595,broad,1
596,craves,1
597,cause,1
598,sideshow,1
599,negotiate,1
600,maritime,1
601,fine,1
602,like,8
603,halt,1
604,deprive,1
605,successful,1
606,arenas,1
607,combat,1
608,mike,1
609,described,1
610,represents,1
611,less,2
612,kicked,1
613,moderated,1
614,approach,3
615,apparently,1
616,reasoning,1
617,country,7
618,worst,2
619,pro,3
620,instincts,1
621,must,2
622,party,2
623,conflict,9
624,obviously,1
625,working,3
626,extension,1
627,badly,1
628,legacy,1
629,laced,1
630,gratitude,1
631,praise,1
632,holding,4
633,clash,1
634,thanked,1
635,productive,2
636,believe,4
637,together,2
638,america,1
639,leadership,2
640,achieved,1
641,year,7
642,statement,5
643,effusive,1
644,anything,2
645,raise,4
646,ukrainians,1
647,vital,2
648,preventing,1
649,outbreaks,1
650,fighting,4
651,judging,1
652,reacted,1
653,favorably,1
654,suggestion,1
655,transactional,1
656,stations,1
657,improve,1
658,humoring,1
659,another,6
660,europeans,1
661,building,1
662,coalition,4
663,walks,1
664,aide,1
665,andriy,1
666,yermak,1
667,instance,2
668,accelerated,2
