,word,frequency
0,canada,55
1,next,8
2,leader,9
3,relative,1
4,political,8
5,newcomer,1
6,coming,8
7,instead,2
8,decades,4
9,long,6
10,career,4
11,finance,5
12,steered,1
13,governments,1
14,major,6
15,global,4
16,crises,3
17,periods,1
18,upheaval,1
19,experience,2
20,hoping,1
21,leverage,1
22,prepares,1
23,take,7
24,prime,4
25,minister,5
26,justin,2
27,trudeau,11
28,unorthodox,1
29,background,3
30,could,27
31,also,21
32,potentially,3
33,stand,1
34,mark,2
35,carney,28
36,good,5
37,stead,1
38,seeks,2
39,counter,2
40,looming,2
41,economic,23
42,confrontation,2
43,giant,1
44,southern,1
45,neighbor,2
46,us,58
47,president,19
48,donald,8
49,trump,73
50,trade,22
51,war,4
52,elected,4
53,sunday,18
54,lead,9
55,liberal,9
56,party,14
57,federal,16
58,elections,2
59,later,5
60,year,21
61,never,2
62,run,2
63,office,11
64,rumors,1
65,swirled,1
66,years,7
67,might,5
68,foray,1
69,politics,1
70,liberals,2
71,courting,1
72,decade,4
73,advised,1
74,recovery,1
75,covid,1
76,19,1
77,banker,1
78,turned,1
79,politician,1
80,make,8
81,official,5
82,entrance,1
83,announced,7
84,resignation,2
85,january,9
86,competitors,1
87,sitting,1
88,politicians,1
89,unusual,1
90,situation,4
91,becoming,2
92,without,4
93,holding,1
94,seat,1
95,parliament,1
96,born,1
97,fort,1
98,smith,1
99,northwest,1
100,territories,1
101,raised,4
102,edmonton,2
103,alberta,2
104,parents,1
105,teachers,1
106,true,2
107,canadian,23
108,roots,1
109,played,1
110,ice,2
111,hockey,3
112,goalie,1
113,growing,1
114,according,20
115,campaign,6
116,website,4
117,headed,1
118,united,8
119,states,10
120,degree,2
121,economics,3
122,harvard,1
123,university,12
124,pursuing,1
125,master,1
126,doctorate,1
127,oxford,1
128,similarly,1
129,globe,1
130,trotting,1
131,spent,4
132,13,2
133,working,5
134,goldman,1
135,sachs,1
136,traveling,1
137,firm,3
138,offices,1
139,london,1
140,tokyo,1
141,new,16
142,york,1
143,toronto,1
144,profile,3
145,bank,7
146,joined,1
147,2003,1
148,2008,2
149,serving,1
150,governor,4
151,central,3
152,stepping,1
153,job,6
154,world,4
155,plunged,1
156,great,2
157,recession,10
158,pointed,3
159,time,20
160,evidence,9
161,navigating,2
162,saying,5
163,helped,1
164,protect,2
165,jobs,4
166,stabilize,1
167,economy,16
168,well,8
169,enough,3
170,finished,1
171,five,7
172,term,8
173,scooped,1
174,england,4
175,first,15
176,non,1
177,british,3
178,person,5
179,hold,3
180,position,2
181,member,1
182,commonwealth,1
183,following,3
184,crisis,4
185,ridden,1
186,public,3
187,voting,1
188,depart,1
189,european,1
190,union,2
191,speeches,1
192,2016,1
193,referendum,1
194,warned,2
195,impact,3
196,brexit,2
197,would,16
198,country,6
199,left,6
200,2020,2
201,almost,4
202,seven,2
203,un,3
204,special,2
205,envoy,2
206,climate,5
207,action,4
208,2019,2
209,advocated,1
210,financial,4
211,sector,1
212,invest,2
213,net,1
214,zero,9
215,emissions,3
216,became,2
217,oversees,1
218,insurance,1
219,industry,4
