,Sentence,Polarity,Subjectivity
0,"This material may not be published, broadcast, rewritten, or redistributed. ©2025 FOX News Network, LLC. All rights reserved. Quotes displayed in real-time or delayed by at least 15 minutes. Market data provided by Factset. Powered and implemented by FactSet Digital Solutions. Legal Statement. Mutual Fund and ETF data provided by Refinitiv Lipper.",-0.033333333333333326,0.20000000000000004
1,Trump administration seeks end to Manhattan toll program while New York officials push back. CREDIT: U.S. Department of Transportation,0.06818181818181818,0.22727272727272727
2,President Donald Trump's administration is demanding that New York City's transit authority reduce crime across the city or face big cuts to federal funding.,0.06818181818181818,0.2772727272727273
3,"Transportation Secretary Sean Duffy issued the ultimatum to the Metro Transportation Authority (MTA) in a letter on Tuesday, saying the new administration is here to ""restore order."" The federal government currently supplies the MTA with billions of dollars in funding.",0.06818181818181818,0.42727272727272725
4,"""The trend of violent crime, homelessness, and other threats to public safety on one of our nation's most prominent metro systems is unacceptable. After years of soft-on-crime policies, our Department is stepping in to restore order,"" Duffy wrote.",0.01499999999999999,0.5883333333333333
5,"""Commuters are sick and tired of feeling like they have to jeopardize their safety to get to work, go to school, or to travel around the city. We will continue to fight to ensure their federal tax dollars are going towards a crime-free commute,"" he added.",-0.5571428571428572,0.7785714285714285
6,GUARDIAN ANGELS RESUME NEW YORK CITY PATROLS AFTER SUBWAY BURNING DEATH: 'NEVER SEEN IT THIS BAD',-0.28181818181818175,0.5606060606060606
7,Transportation Sec. Sean Duffy threatened funding cuts if NYC doesn't lower crime rates. (Eduardo MunozAlvarez/VIEWpress/Samuel Corum/Sipa/Bloomberg via Getty Images),-0.1,0.6
8,"Duffy's letter requests the MTA's data on fare evasion, worker assaults, customer assaults and police patrols. It also requests an accounting of how the MTA has used federal funding to address safety and security in the city's transportation system.",0.0,0.0
9,"""I appreciate your prompt attention to this matter to avoid further consequences, up to and including redirecting or withholding funding,"" Duffy wrote.",0.0,0.5
10,HOCHUL'S CHRISTMASTIME BOAST OF SAFER SUBWAY CAME AMID STRING OF ALARMING VIOLENT ATTACKS,-0.45,0.8
